Method,e_x,e_l,time,KSD,W2
dSMC,0.44196800887584686,18.25883231163025,4.6471656322479244,2.207444571785978,1.0396794755000853
Kalman Filter,0.13153162598609924,0.0,0.15021586418151855,0.4215785108983253,0.1385098439657723
RTS Smoother,0.0,0.0,0.19031524658203125,0.0,0.0
PVMC Oracle,0.05377891696989536,5.429893159866333,3.3214871883392334,0.20029734285938422,0.12850367591887857
PVMC,0.07282638773322106,43.097306340932846,2.9868333101272584,0.1996484350975959,0.14329147765268013
TFS,0.5016180634498596,1.0,31.689330434799196,0.4124737210003803,0.8219715686584669
