Method,e_x,e_l,time
Kalman Filter,0.11562112718820572,0.0,0.056787872314453126
RTS Smoother,0.0,0.0,0.07159509658813476
PVMC Oracle,1.0295717120170593,1.0,0.09237141609191894
PVMC,1.0708554983139038,1.0,0.04160573482513428
TFS,0.4775437653064728,14.73001034259796,0.1292980670928955
