Method,e_x,e_l,time
Kalman Filter,0.12774859368801117,0.0,0.07797064781188964
RTS Smoother,0.0,0.0,0.10134699344635009
PVMC Oracle,0.053377490863204,0.2661422997713089,0.2076106309890747
PVMC,0.13434372544288636,19.898754239082336,0.1292431116104126
TFS,0.49598470628261565,23.56630547642708,0.5547772407531738
